_id,id,air_quality_benfits_total_lbs,neighborhood
600,1352856289,0.920555149,Greenfield
601,1103108759,1.772196728,Greenfield
602,2110646987,0.867628789,Greenfield
603,925945312,0.601871117,Central Northside
604,1569928123,0.084687809,Hazelwood
605,1254944085,1.750170719,Hazelwood
606,700842173,0.514932401,Greenfield
607,1079657123,2.370444044,Greenfield
608,805689925,0.447259761,Hazelwood
609,1449587691,0.378359247,Greenfield
610,782649519,0.28078478,Hazelwood
611,1140177713,2.610242973,Hazelwood
612,820788596,2.151602667,Greenfield
613,839519315,0.816341239,Greenfield
614,1193315435,0.239166724,Central Northside
615,805335029,1.382427748,Greenfield
616,1707217646,1.031785168,Greenfield
617,1256209711,0.601871117,Greenfield
618,1735481780,0.392464155,Greenfield
619,713506656,0.223908885,Greenfield
620,509128224,0.020985359,Greenfield
621,1298113506,1.584236719,Hazelwood
622,288107396,0.591701199,Hazelwood
623,1999301860,2.716831904,Greenfield
624,75868966,5.929365092,Hazelwood
625,1371294172,0.062539413,Central Northside
626,1946292522,4.524266851,Hazelwood
627,1041532005,0.137482289,Hazelwood
628,1216045451,0.934352495,Hazelwood
629,1172499980,2.471105234,Squirrel Hill South
630,867673601,3.238298781,Squirrel Hill South
631,1055829670,1.544485723,Squirrel Hill South
632,542182958,2.370444044,Squirrel Hill South
633,474098910,0.207721333,Squirrel Hill South
634,45004294,0.514932401,Squirrel Hill South
635,1931804903,3.238298781,Squirrel Hill South
636,247817548,0.775748548,Central Northside
637,49739295,0.487952619,Squirrel Hill South
638,444442965,0.503116025,Squirrel Hill South
639,1706590582,5.500750911,Squirrel Hill South
640,121769279,1.925901529,Squirrel Hill South
641,792950264,0.33915266,Squirrel Hill South
642,1500176031,0.816341239,Squirrel Hill South
643,372717921,1.544485723,Squirrel Hill South
644,791030180,0.207721333,Squirrel Hill South
645,1290127508,0.592663537,Marshall-Shadeland
646,2022474851,0.11985709,Marshall-Shadeland
647,311613413,0.239166724,Central Northside
648,751005901,0.601871117,Squirrel Hill South
649,1673050032,1.660922978,Squirrel Hill South
650,990579594,0.785552536,Squirrel Hill South
651,726577922,0.747752351,Squirrel Hill South
652,683486142,0.513908222,Squirrel Hill South
653,2063536249,0.4360846,Squirrel Hill South
654,1914836766,0.969222149,Brighton Heights
655,2144028004,0.579312976,Brighton Heights
656,1725514195,0.012837407,Marshall-Shadeland
657,1708940342,0.387658883,Marshall-Shadeland
658,2096763750,0.4360846,North Shore
659,236639063,0.207721333,Marshall-Shadeland
660,865241495,0.201414564,Marshall-Shadeland
661,433639277,3.974713175,Marshall-Shadeland
662,1467456585,3.138420672,Marshall-Shadeland
663,1752837396,4.175564329,Marshall-Shadeland
664,1987145713,3.265421414,Marshall-Shadeland
665,922559556,5.784189152,Marshall-Shadeland
666,863843148,1.773030108,Marshall-Shadeland
667,250672502,2.757418448,Marshall-Shadeland
668,972933441,3.138420672,Marshall-Shadeland
669,73056621,0.476869,South Side Flats
